Spark Version: version 3.5.5

 Query       Time(secs)   Rows Returned
========================================
 query01          23.00        100
 query02          26.00       2513
 query03          22.00         89
 query04          34.00          8
 query05          29.00        100
 query06          25.00         45
 query07          24.00        100
 query08          25.00          5
 query09          23.00          1
 query10          26.00          5
 query11          31.00         88
 query12          22.00        100
 query13          23.00          1
 query14          53.00        100
 100               0.00          0
 query15          21.00        100
 query16          24.00          1
 query17          29.00          1
 query18          26.00        100
 query19          23.00        100
 query20          21.00        100
 query21          22.00        100
 query22          22.00        100
 query23          47.00          1
 4                 0.00          0
 query24          26.00          0
 query25          30.00          1
 query26          23.00        100
 query27          25.00        100
 query28          29.00          1
 query29          29.00          1
 query30          25.00        100
 query31          30.00         51
 query32          22.00          1
 query33          27.00        100
 query34          23.00        451
 query35          28.00        100
 query36          23.00        100
 query37          23.00          1
 query38          26.00          1
 query39          48.00          1
 1               243.00         14
 query40          23.00        100
 query41          20.00          4
 query42          20.00         10
 query43          21.00          6
 query44          25.00         10
 query45          23.00         19
 query46          25.00        100
 query47          30.00        100
 query48          22.00          1
 query49          28.00         32
 query50          24.00          6
 query51          30.00        100
 query52          20.00        100
 query53          22.00        100
 query54          29.00          1
 query55          19.00        100
 query56          25.00        100
 query57          26.00        100
 query58          25.00          3
 query59          24.00        100
 query60          26.00        100
 query61          23.00          1
 query62          22.00        100
 query63          22.00        100
 query64          35.00         10
 query65          25.00        100
 query66          26.00          5
 query67          26.00        100
 query68          24.00        100
 query69          25.00        100
 query70          24.00          3
 query71          23.00       1018
 query72          34.00        100
 query73          23.00          5
 query74          28.00         92
 query75          31.00        100
 query76          24.00        100
 query77          26.00         44
 query78          31.00        100
 query79          23.00        100
 query80          32.00        100
 query81          28.00        100
 query82          28.00          2
 query83          27.00         21
 query84          33.00         25
 query85          31.00          6
 query86          26.00        100
 query87          30.00          1
 query88          30.00          1
 query89          25.00        100
 query90          23.00          1
 query91          24.00          1
 query92          24.00          1
 query93          25.00        100
 query94          27.00          1
 query95          28.00          1
 query96          21.00          1
 query97          26.00          1
 query98          25.00       2516
 query99          23.00         90
 query100         23.00         90
 query101         15.00         10
 query102         14.00          1
