t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1740830043,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1740830053,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1740830063,28,808,122.529581,21,147.547169,88.000000,137.000000,391.000000,808.000000,808.000000,808.000000
1740830073,41,808,93.226292,9,126.370866,57.000000,120.000000,221.000000,808.000000,808.000000,808.000000
1740830083,66,808,63.720413,9,100.289250,37.000000,63.000000,148.000000,391.000000,808.000000,808.000000
1740830093,69,808,61.317208,9,97.947372,30.000000,59.000000,148.000000,391.000000,808.000000,808.000000
1740830104,78,808,64.119126,9,90.879282,39.000000,88.000000,145.000000,221.000000,391.000000,808.000000
1740830114,81,808,62.273963,9,88.353694,38.000000,77.000000,145.000000,221.000000,391.000000,808.000000
1740830116,82,808,61.184907,9,87.697407,38.000000,69.000000,145.000000,221.000000,391.000000,808.000000
1740830116,82,808,61.184907,9,87.697407,38.000000,69.000000,145.000000,221.000000,391.000000,808.000000
