t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1740830043,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1740830053,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1740830063,57,8476,2135.066948,562,1848.337193,1613.000000,3059.000000,6003.000000,6489.000000,8476.000000,8476.000000
1740830073,83,8476,1891.846591,562,1687.606603,1137.000000,2891.000000,5016.000000,6489.000000,8476.000000,8476.000000
1740830083,136,8476,1926.153726,562,1830.928493,1254.000000,2655.000000,5938.000000,8098.000000,8106.000000,8476.000000
1740830093,142,8476,1888.254337,562,1794.715013,1254.000000,2655.000000,5933.000000,8098.000000,8106.000000,8476.000000
1740830104,160,8476,1917.194960,562,1794.325088,1254.000000,2871.000000,5938.000000,8098.000000,8106.000000,8476.000000
1740830114,166,8476,1922.569633,562,1801.458827,1254.000000,2871.000000,5933.000000,8098.000000,8106.000000,8476.000000
1740830116,168,8476,1908.501047,562,1786.786879,1254.000000,2658.000000,5933.000000,8098.000000,8106.000000,8476.000000
1740830116,168,8476,1908.501047,562,1786.786879,1254.000000,2658.000000,5933.000000,8098.000000,8106.000000,8476.000000
