t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1740830043,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1740830053,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1740830063,197,1010,103.360597,1,139.067512,48.000000,154.000000,401.000000,542.000000,542.000000,1010.000000
1740830073,287,1010,89.833018,1,129.792191,38.000000,137.000000,372.000000,485.000000,542.000000,1010.000000
1740830083,473,1010,88.772590,1,137.570635,24.000000,136.000000,387.000000,485.000000,741.000000,1010.000000
1740830093,492,1010,86.506500,1,135.509205,23.000000,129.000000,372.000000,485.000000,741.000000,1010.000000
1740830104,552,1010,92.528278,1,141.896826,33.000000,136.000000,401.000000,485.000000,739.000000,1010.000000
1740830114,572,1010,92.635788,1,141.251543,33.000000,136.000000,401.000000,485.000000,739.000000,1010.000000
1740830116,581,1010,91.583651,1,140.150105,32.000000,136.000000,401.000000,485.000000,739.000000,1010.000000
1740830116,581,1010,91.583651,1,140.150105,32.000000,136.000000,401.000000,485.000000,739.000000,1010.000000
