t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1740830043,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1740830053,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1740830063,28,20906,5180.914223,1214,3707.007585,4722.000000,6409.000000,11382.000000,20906.000000,20906.000000,20906.000000
1740830073,41,20906,4354.183799,889,3475.186316,3959.000000,5117.000000,9549.000000,20906.000000,20906.000000,20906.000000
1740830083,66,20906,4454.228910,889,4497.136018,2224.000000,5117.000000,18267.000000,18270.000000,20906.000000,20906.000000
1740830093,69,20906,4301.701973,889,4413.314444,2221.000000,4773.000000,18267.000000,18270.000000,20906.000000,20906.000000
1740830104,78,20906,4477.057889,889,4151.394017,3153.000000,4773.000000,18267.000000,18270.000000,18270.000000,20906.000000
1740830114,81,20906,4477.571881,889,4116.024345,3039.000000,4773.000000,11382.000000,18270.000000,18270.000000,20906.000000
1740830116,82,20906,4436.032597,889,4080.758246,2560.000000,4773.000000,11382.000000,18270.000000,18270.000000,20906.000000
1740830116,82,20906,4436.032597,889,4080.758246,2560.000000,4773.000000,11382.000000,18270.000000,18270.000000,20906.000000
