t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740830043,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1740830053,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1740830063,142,362.695200,7.795693,0.004525,34.539780,0.553446,1.536638,31.125334,129.553060,143.968857,362.695200,4.553199,1.114264,0.231181,0.077538,calls/second,milliseconds
1740830073,964,362.695200,1.959147,0.002775,15.783103,0.401815,0.585379,1.723148,11.735537,39.868006,273.934729,23.437325,11.113137,2.391574,0.807168,calls/second,milliseconds
1740830083,2922,45.828754,0.582143,0.000364,2.736302,0.308968,0.505983,0.731654,1.166597,3.520701,43.287002,57.148585,37.495016,8.459222,2.878049,calls/second,milliseconds
1740830093,4985,45.828754,0.542971,0.000364,1.965123,0.358808,0.627365,1.014323,1.329478,2.221657,43.287002,81.552071,63.340001,14.947482,5.127511,calls/second,milliseconds
1740830104,5923,46.162054,0.606546,0.000440,2.591216,0.289360,0.616570,1.030955,1.551636,2.584460,46.162054,83.272949,69.328247,17.853502,6.217763,calls/second,milliseconds
1740830114,8808,72.168401,0.601448,0.000148,3.478986,0.261228,0.506139,0.886194,1.159847,1.832785,72.168401,108.549592,98.234368,25.834082,9.042891,calls/second,milliseconds
1740830116,9412,72.168401,0.609104,0.000148,3.452655,0.252127,0.521592,0.870932,1.128915,2.072604,72.168401,113.473323,98.234368,25.834082,9.042891,calls/second,milliseconds
1740830116,9412,72.168401,0.609104,0.000148,3.452655,0.252127,0.521592,0.870932,1.128915,2.072604,72.168401,113.413342,98.234368,25.834082,9.042891,calls/second,milliseconds
