t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740830043,4,29.125348,7.285194,0.002348,12.609419,0.010475,29.125348,29.125348,29.125348,29.125348,29.125348,0.350225,0.736036,0.786777,0.795568,calls/second,milliseconds
1740830053,6,29.125348,9.406757,0.002348,12.744850,0.010475,24.506312,29.125348,29.125348,29.125348,29.125348,0.282303,0.639032,0.764289,0.787885,calls/second,milliseconds
1740830063,250,29.125348,0.174004,0.000266,2.097496,0.004998,0.007088,0.017065,0.059949,0.167402,29.125348,7.984555,3.275427,1.309755,0.970715,calls/second,milliseconds
1740830073,1116,3.684687,0.011151,0.000138,0.124578,0.004831,0.006861,0.010838,0.018269,0.057852,3.684687,27.051503,13.161284,3.480849,1.705964,calls/second,milliseconds
1740830083,3111,3.684687,0.008201,0.000029,0.118642,0.002710,0.004016,0.008041,0.011694,0.021091,1.247965,60.697163,39.923376,9.652610,3.813562,calls/second,milliseconds
1740830093,5199,0.073386,0.003297,0.000030,0.004121,0.002603,0.003519,0.007028,0.009454,0.015094,0.072581,84.880470,65.765286,16.180482,6.079212,calls/second,milliseconds
1740830104,6297,0.073386,0.003080,0.000030,0.003938,0.002504,0.003338,0.006142,0.008101,0.014551,0.072581,88.377249,74.184802,19.635288,7.357003,calls/second,milliseconds
1740830114,9256,0.073386,0.002653,0.000029,0.002384,0.002350,0.003024,0.004784,0.006264,0.007647,0.025499,113.896497,102.651075,27.612476,10.187511,calls/second,milliseconds
1740830116,9867,0.073386,0.002593,0.000029,0.002250,0.002336,0.002968,0.004542,0.005696,0.007502,0.016888,118.781745,102.651075,27.612476,10.187511,calls/second,milliseconds
1740830116,9867,0.073386,0.002593,0.000029,0.002250,0.002336,0.002968,0.004542,0.005696,0.007502,0.016888,118.718867,102.651075,27.612476,10.187511,calls/second,milliseconds
