t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740830043,4,64.372219,38.232306,6.579715,25.423122,62.023904,64.372219,64.372219,64.372219,64.372219,64.372219,0.276279,0.736036,0.786777,0.795568,calls/second,milliseconds
1740830053,6,64.372219,29.868302,5.938344,23.365420,26.909764,62.023904,64.372219,64.372219,64.372219,64.372219,0.246812,0.639032,0.764289,0.787885,calls/second,milliseconds
1740830063,250,171.738129,2.381618,0.000581,12.570522,0.270271,0.449859,6.751433,34.125084,45.938671,171.738129,7.274436,1.499117,0.937521,0.845655,calls/second,milliseconds
1740830073,1116,171.738129,0.691850,0.000581,5.419992,0.262738,0.356456,0.964973,3.356334,6.751433,45.938671,25.185298,9.038909,2.563110,1.394399,calls/second,milliseconds
1740830083,3111,25.165105,0.249349,0.001338,0.842836,0.154121,0.233521,0.426825,0.903164,1.521826,10.414049,57.280388,39.699370,9.287368,3.671681,calls/second,milliseconds
1740830093,5201,10.414049,0.215460,0.002867,0.471537,0.149709,0.204429,0.400407,0.734093,1.279974,7.174746,80.876749,59.366942,14.444771,5.469775,calls/second,milliseconds
1740830104,6297,10.414049,0.198110,0.000530,0.447082,0.139450,0.186840,0.392290,0.763035,1.190833,7.174746,84.741686,74.320426,19.171862,7.165614,calls/second,milliseconds
1740830114,9256,7.174746,0.152139,0.000530,0.313355,0.111101,0.148784,0.316689,0.504565,0.867716,6.161842,109.767373,98.659793,26.065708,9.615520,calls/second,milliseconds
1740830116,9867,7.174746,0.146436,0.000530,0.308579,0.107898,0.142641,0.290910,0.453536,0.867716,6.161842,114.566189,111.479888,29.915773,10.997148,calls/second,milliseconds
1740830116,9867,7.174746,0.146436,0.000530,0.308579,0.107898,0.142641,0.290910,0.453536,0.867716,6.161842,114.507016,111.479888,29.915773,10.997148,calls/second,milliseconds
