t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740830043,4,64.537851,38.334926,6.665450,25.452706,62.126102,64.537851,64.537851,64.537851,64.537851,64.537851,0.276073,0.736036,0.786777,0.795568,calls/second,milliseconds
1740830053,6,170.560566,59.476329,6.665450,60.495952,62.126102,64.537851,170.560566,170.560566,170.560566,170.560566,0.246706,0.639032,0.764289,0.787885,calls/second,milliseconds
1740830063,250,184.607535,3.437538,0.012636,17.000385,0.340139,1.012582,10.883825,45.310975,72.908409,184.607535,7.272058,1.499117,0.937521,0.845655,calls/second,milliseconds
1740830073,1116,184.607535,1.024315,0.012636,6.098204,0.463581,0.789572,1.966740,3.625378,10.049467,72.908409,25.178995,9.022918,2.559804,1.393291,calls/second,milliseconds
1740830083,3111,184.607535,0.673341,0.003584,5.288198,0.298072,0.640725,1.033947,1.427321,2.356517,39.423047,57.268379,39.700546,9.287422,3.671688,calls/second,milliseconds
1740830093,5203,39.423047,0.826586,0.003584,1.450383,0.333042,0.939250,2.849651,3.570105,4.367954,9.505213,80.893477,59.307809,14.431764,5.465368,calls/second,milliseconds
1740830104,6297,39.423047,0.762653,0.003584,1.363647,0.258732,0.910826,2.737780,3.405125,4.166761,6.560100,84.729126,74.333057,19.172450,7.165681,calls/second,milliseconds
1740830114,9257,6.560100,0.562333,0.002399,0.732812,0.256662,0.695358,2.340399,2.927390,3.356387,4.367954,109.764776,98.673042,26.066386,9.615599,calls/second,milliseconds
1740830116,9867,6.560100,0.594438,0.002399,0.742034,0.266046,0.820531,2.319695,2.854576,3.356387,4.367954,114.551763,111.492078,29.916440,10.997226,calls/second,milliseconds
1740830116,9867,6.560100,0.594438,0.002399,0.742034,0.266046,0.820531,2.319695,2.854576,3.356387,4.367954,114.492328,111.492078,29.916440,10.997226,calls/second,milliseconds
