t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1740830043,4,37.418603,9.370455,0.012468,16.193609,0.037896,37.418603,37.418603,37.418603,37.418603,37.418603,0.350124,0.736036,0.786777,0.795568,calls/second,milliseconds
1740830053,6,37.418603,10.702531,0.012468,14.873058,0.061302,24.581825,37.418603,37.418603,37.418603,37.418603,0.282277,0.639032,0.764289,0.787885,calls/second,milliseconds
1740830063,250,37.418603,0.241137,0.001863,2.436201,0.029202,0.039376,0.087655,0.175888,1.491492,37.418603,7.983785,3.275427,1.309755,0.970715,calls/second,milliseconds
1740830073,1117,37.418603,0.062336,0.001863,0.917363,0.024447,0.032367,0.069478,0.116703,0.163012,3.902616,27.073014,13.161284,3.480849,1.705964,calls/second,milliseconds
1740830083,3111,37.418603,0.044863,0.000284,0.862119,0.019941,0.027414,0.052000,0.079041,0.090284,3.902616,60.691512,39.923376,9.652610,3.813562,calls/second,milliseconds
1740830093,5203,3.902616,0.022037,0.000314,0.100483,0.014699,0.025505,0.041582,0.061302,0.077244,0.384201,84.939879,65.765286,16.180482,6.079212,calls/second,milliseconds
1740830104,6297,3.902616,0.019969,0.000270,0.097333,0.012590,0.023604,0.038952,0.051760,0.071163,0.384201,88.372566,74.184802,19.635288,7.357003,calls/second,milliseconds
1740830114,9257,3.902616,0.016427,0.000270,0.089195,0.010535,0.019314,0.032504,0.040670,0.055801,0.139296,113.903396,102.651075,27.612476,10.187511,calls/second,milliseconds
1740830116,9867,3.902616,0.016207,0.000270,0.087967,0.010421,0.018587,0.032227,0.039531,0.055801,0.139296,118.776938,102.651075,27.612476,10.187511,calls/second,milliseconds
1740830116,9867,3.902616,0.016207,0.000270,0.087967,0.010421,0.018587,0.032227,0.039531,0.055801,0.139296,118.713161,102.651075,27.612476,10.187511,calls/second,milliseconds
