
 Query       Time(secs)   Rows returned
========================================
 query01          28.59             100
 query02          29.51            2513
 query03          23.93              89
 query04          51.61               8
 query05          33.38             100
 query06          30.93              45
 query07          25.09             100
 query08          28.91               5
 query09          27.82               1
 query10          35.20               5
 query11          38.63              88
 query12          24.77             100
 query13          25.29               1
 query14          58.73             100
 query14          20.85             100
 query15          23.75             100
 query16          24.70               1
 query17          29.31               1
 query18          27.45             100
 query19          25.52             100
 query20          25.96             100
 query21          24.02             100
 query22          24.11             100
 query23          42.31               1
 query23          18.26               4
 query24          31.19               0
 query24           7.59               0
 query25          30.40               1
 query26          23.92             100
 query27          25.67             100
 query28           0.00               0
 query29          28.52               1
 query30          28.63             100
 query31          37.20              51
 query32          24.32               1
 query33          30.55             100
 query34          25.54             451
 query35          35.04             100
 query36          25.83             100
 query37          22.62               1
 query38          33.97               1
 query39          29.32             246
 query39           5.98              17
 query40          32.70             100
 query41          26.38               4
 query42          25.97              10
 query43          27.23               6
 query44          33.14              10
 query45          26.94              19
 query46          29.50             100
 query47          52.08             100
 query48          28.98               1
 query49          37.30              32
 query50          29.08               6
 query51          53.57             100
 query52          27.01             100
 query53          31.20             100
 query54          40.68               1
 query55          26.49             100
 query56          35.35             100
 query57          46.76             100
 query58          39.78               3
 query59          33.08             100
 query60          30.91             100
 query61           0.00               0
 query62          23.45             100
 query63          26.09             100
 query64          43.65              10
 query65          29.03             100
 query66          29.52               5
 query67          28.92             100
 query68          24.80             100
 query69          34.13             100
 query70          29.52               3
 query71          27.12            1018
 query72          34.01             100
 query73          24.34               5
 query74          37.62              92
 query75          41.34             100
 query76          26.28             100
 query77           0.00               0
 query78          35.43             100
 query79          24.93             100
 query80          33.98             100
 query81          29.42             100
 query82          25.21               2
 query83          29.10              21
 query84          20.98              25
 query85          28.15               6
 query86          24.64             100
 query87          34.65               1
 query88           0.00               0
 query89          26.29             100
 query90           0.00               0
 query91          23.80               1
 query92          25.70               1
 query93          24.48             100
 query94          23.99               1
 query95          31.75               1
 query96          20.45               1
 query97          28.16               1
 query98          27.52            2516
 query99          25.60              90
