t,value
1741047873,2004
1741047874,2004
1741047875,2004
1741047876,2004
1741047877,2004
1741047878,2004
1741047879,2004
1741047880,2004
1741047881,2004
1741047882,2004
1741047883,2004
1741047884,2004
1741047885,2004
1741047886,2004
1741047887,2004
1741047888,2004
1741047889,2004
1741047890,2004
1741047891,2004
1741047892,2004
1741047893,2004
1741047895,2004
1741047896,2004
1741047897,2004
1741047898,2004
1741047899,2004
1741047900,2004
1741047901,2004
1741047902,2004
1741047903,2004
1741047904,2004
1741047905,2004
1741047906,2004
1741047907,2004
1741047908,2004
1741047909,2004
1741047910,2004
1741047911,2004
1741047912,2004
1741047913,2004
1741047914,2004
1741047915,2004
1741047915,2004
1741047915,2004
1741047915,0
