t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1741047873,5,110.055214,22.290037,0.019026,43.885298,0.045567,1.292889,110.055214,110.055214,110.055214,110.055214,1.937281,0.000000,0.000000,0.000000,calls/second,milliseconds
1741047874,5,110.055214,22.290037,0.019026,43.885298,0.045567,1.292889,110.055214,110.055214,110.055214,110.055214,1.377079,0.000000,0.000000,0.000000,calls/second,milliseconds
1741047875,5,110.055214,22.290037,0.019026,43.885298,0.045567,1.292889,110.055214,110.055214,110.055214,110.055214,1.075194,0.000000,0.000000,0.000000,calls/second,milliseconds
1741047876,5,110.055214,22.290037,0.019026,43.885298,0.045567,1.292889,110.055214,110.055214,110.055214,110.055214,0.881603,1.000000,1.000000,1.000000,calls/second,milliseconds
1741047877,5,110.055214,22.290037,0.019026,43.885298,0.045567,1.292889,110.055214,110.055214,110.055214,110.055214,0.747663,1.000000,1.000000,1.000000,calls/second,milliseconds
1741047878,5,110.055214,22.290037,0.019026,43.885298,0.045567,1.292889,110.055214,110.055214,110.055214,110.055214,0.649146,1.000000,1.000000,1.000000,calls/second,milliseconds
1741047879,5,110.055214,22.290037,0.019026,43.885298,0.045567,1.292889,110.055214,110.055214,110.055214,110.055214,0.573210,1.000000,1.000000,1.000000,calls/second,milliseconds
1741047880,5,110.055214,22.290037,0.019026,43.885298,0.045567,1.292889,110.055214,110.055214,110.055214,110.055214,0.513445,1.000000,1.000000,1.000000,calls/second,milliseconds
1741047881,5,110.055214,22.290037,0.019026,43.885298,0.045567,1.292889,110.055214,110.055214,110.055214,110.055214,0.465012,0.920044,0.983471,0.994460,calls/second,milliseconds
1741047882,5,110.055214,22.290037,0.019026,43.885298,0.045567,1.292889,110.055214,110.055214,110.055214,110.055214,0.424885,0.920044,0.983471,0.994460,calls/second,milliseconds
1741047883,6,110.055214,18.058296,0.019026,40.425970,0.117964,1.292889,110.055214,110.055214,110.055214,110.055214,0.469282,0.920044,0.983471,0.994460,calls/second,milliseconds
1741047884,6,110.055214,18.058296,0.019026,40.425970,0.117964,1.292889,110.055214,110.055214,110.055214,110.055214,0.434795,0.920044,0.983471,0.994460,calls/second,milliseconds
1741047885,6,110.055214,18.058296,0.019026,40.425970,0.117964,1.292889,110.055214,110.055214,110.055214,110.055214,0.405044,0.920044,0.983471,0.994460,calls/second,milliseconds
1741047886,6,110.055214,18.058296,0.019026,40.425970,0.117964,1.292889,110.055214,110.055214,110.055214,110.055214,0.379119,0.862473,0.970522,0.990058,calls/second,milliseconds
1741047887,6,110.055214,18.058296,0.019026,40.425970,0.117964,1.292889,110.055214,110.055214,110.055214,110.055214,0.356251,0.862473,0.970522,0.990058,calls/second,milliseconds
1741047888,6,110.055214,18.058296,0.019026,40.425970,0.117964,1.292889,110.055214,110.055214,110.055214,110.055214,0.336029,0.862473,0.970522,0.990058,calls/second,milliseconds
