t,value
1741048077,2004
1741048078,2004
1741048079,2004
1741048080,2004
1741048081,2004
1741048082,2004
1741048083,2004
1741048084,2004
1741048085,2004
1741048086,2004
1741048087,2004
1741048088,2004
1741048089,2004
1741048090,2004
1741048091,2004
1741048092,2004
1741048093,2004
1741048094,2004
1741048096,2004
1741048097,2004
1741048098,2004
1741048099,2004
1741048100,2004
1741048101,2004
1741048102,2004
1741048103,2004
1741048104,2004
1741048105,2004
1741048106,2004
1741048107,2004
1741048108,2004
1741048109,2004
1741048110,2004
1741048111,2004
1741048112,2004
1741048113,2004
1741048114,2004
1741048115,2004
1741048116,2004
1741048117,2004
1741048118,2004
1741048119,2004
1741048120,2004
1741048121,2004
1741048122,2004
1741048123,2004
1741048124,2004
1741048125,2004
1741048126,2004
1741048127,2004
1741048128,2004
1741048129,2004
1741048130,2004
1741048130,2004
1741048130,0
