t,value
1741048153,0
1741048154,0
1741048155,0
1741048156,0
1741048157,0
1741048158,0
1741048159,0
1741048160,0
1741048161,0
1741048162,0
1741048163,0
1741048164,0
1741048165,0
1741048166,0
1741048167,0
1741048168,0
1741048169,0
1741048170,0
1741048171,0
1741048172,0
1741048173,0
1741048174,0
1741048175,0
1741048176,0
1741048177,0
1741048178,0
1741048179,0
1741048180,0
1741048181,0
1741048182,0
1741048183,0
1741048184,0
1741048185,0
1741048186,0
1741048187,0
1741048188,0
1741048189,0
1741048191,0
1741048192,0
1741048193,0
1741048194,0
1741048195,0
1741048196,0
1741048197,0
1741048198,0
1741048199,0
1741048200,0
1741048201,0
1741048202,0
1741048203,0
1741048204,0
1741048205,0
1741048206,0
1741048207,0
1741048207,0
1741048207,0
