t,value
1741048430,0
1741048431,0
1741048432,0
1741048433,0
1741048434,0
1741048435,0
1741048436,0
1741048437,0
1741048438,0
1741048439,0
1741048440,0
1741048441,0
1741048442,0
1741048443,0
1741048444,0
1741048445,0
1741048446,0
1741048447,0
1741048448,0
1741048449,0
1741048450,0
1741048451,0
1741048452,0
1741048453,0
1741048454,0
1741048455,0
1741048456,0
1741048457,0
1741048459,0
1741048460,0
1741048461,0
1741048462,0
1741048463,0
1741048464,0
1741048465,16
1741048466,16
1741048467,16
1741048468,16
1741048469,16
1741048470,16
1741048471,32
1741048472,52
1741048473,86
1741048474,105
1741048475,106
1741048475,106
1741048475,106
1741048475,106
