t,value
1741048653,0
1741048655,0
1741048656,0
1741048657,0
1741048658,0
1741048659,0
1741048660,0
1741048661,0
1741048662,0
1741048663,0
1741048664,0
1741048665,0
1741048666,0
1741048667,0
1741048668,285
1741048669,285
1741048670,285
1741048671,285
1741048672,285
1741048673,285
1741048674,285
1741048675,285
1741048676,285
1741048677,285
1741048678,434
1741048679,434
1741048680,434
1741048681,434
1741048682,434
1741048683,434
1741048684,434
1741048685,434
1741048686,434
1741048687,434
1741048688,473
1741048689,473
1741048690,473
1741048691,473
1741048692,473
1741048693,473
1741048694,473
1741048695,473
1741048696,473
1741048696,473
1741048696,473
