t,count
1741048790,0
1741048792,0
1741048793,0
1741048794,0
1741048795,0
1741048796,0
1741048797,0
1741048798,0
1741048799,0
1741048800,0
1741048801,0
1741048802,0
1741048803,0
1741048804,0
1741048805,0
1741048806,0
1741048807,0
1741048808,0
1741048809,0
1741048810,0
1741048811,0
1741048812,0
1741048813,0
1741048814,0
1741048815,0
1741048816,0
1741048817,0
1741048818,0
1741048819,0
1741048820,0
1741048821,0
1741048822,0
1741048823,0
1741048824,0
1741048825,0
1741048826,0
1741048827,0
1741048828,0
1741048829,0
1741048830,0
1741048831,0
1741048832,0
1741048833,0
1741048834,0
1741048836,0
1741048837,2304324
1741048838,2992404
1741048839,3194702
1741048840,5128110
1741048841,5153336
1741048842,6594884
1741048843,7314268
1741048844,7314268
1741048845,7314268
1741048846,7314268
1741048847,10194672
1741048848,10194672
1741048849,10194672
1741048850,10194672
1741048851,10194672
1741048852,12498996
1741048853,15236008
1741048854,15236008
1741048855,15236008
1741048856,15236008
1741048857,15274008
1741048858,18364511
1741048859,19554216
1741048860,20555442
1741048861,23291826
1741048862,23435846
1741048863,23435846
1741048864,25740170
1741048865,28477182
1741048866,28477182
1741048866,28477182
1741048866,28477182
