t,value
1741048966,0
1741048967,0
1741048968,0
1741048969,0
1741048970,0
1741048971,0
1741048972,0
1741048973,0
1741048974,98174632
1741048975,98174632
1741048976,98174632
1741048977,98174632
1741048978,98174632
1741048979,98174632
1741048980,98174632
1741048981,98174632
1741048982,98174632
1741048983,98174632
1741048984,122688504
1741048985,122688504
1741048986,122688504
1741048987,122688504
1741048988,122688504
1741048989,122688504
1741048991,122688504
1741048992,122688504
1741048993,122688504
1741048994,122688504
1741048995,154990120
1741048996,154990120
1741048997,154990120
1741048998,154990120
1741048999,154990120
1741049000,154990120
1741049001,154990120
1741049002,154990120
1741049003,154990120
1741049004,154990120
1741049005,191510216
1741049006,191510216
1741049007,191510216
1741049008,191510216
1741049009,191510216
1741049010,191510216
1741049011,191510216
1741049012,191510216
1741049012,191510216
1741049012,191510216
1741049013,191510216
