t,value
1741048966,0
1741048967,0
1741048968,0
1741048969,0
1741048970,0
1741048971,0
1741048972,0
1741048973,0
1741048974,0
1741048975,0
1741048976,0
1741048977,0
1741048978,0
1741048979,0
1741048980,0
1741048981,0
1741048982,0
1741048983,0
1741048984,0
1741048985,0
1741048986,0
1741048987,0
1741048988,0
1741048989,0
1741048991,0
1741048992,0
1741048993,0
1741048994,0
1741048995,0
1741048996,0
1741048997,0
1741048998,0
1741048999,0
1741049000,0
1741049001,0
1741049002,0
1741049003,0
1741049004,0
1741049005,0
1741049006,0
1741049007,0
1741049008,0
1741049009,0
1741049010,0
1741049011,0
1741049012,0
1741049012,0
1741049012,0
1741049013,0
