t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1741049042,5,129.125450,26.219166,0.004899,51.458599,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,1.842066,0.000000,0.000000,0.000000,calls/second,milliseconds
1741049043,5,129.125450,26.219166,0.004899,51.458599,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,1.326373,0.000000,0.000000,0.000000,calls/second,milliseconds
1741049044,5,129.125450,26.219166,0.004899,51.458599,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,1.042674,0.000000,0.000000,0.000000,calls/second,milliseconds
1741049045,5,129.125450,26.219166,0.004899,51.458599,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.859591,1.000000,1.000000,1.000000,calls/second,milliseconds
1741049046,5,129.125450,26.219166,0.004899,51.458599,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.731584,1.000000,1.000000,1.000000,calls/second,milliseconds
1741049047,5,129.125450,26.219166,0.004899,51.458599,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.636574,1.000000,1.000000,1.000000,calls/second,milliseconds
1741049048,5,129.125450,26.219166,0.004899,51.458599,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.563369,1.000000,1.000000,1.000000,calls/second,milliseconds
1741049049,5,129.125450,26.219166,0.004899,51.458599,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.505254,1.000000,1.000000,1.000000,calls/second,milliseconds
1741049050,5,129.125450,26.219166,0.004899,51.458599,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.458033,0.920044,0.983471,0.994460,calls/second,milliseconds
1741049051,7,129.125450,17.949080,0.004899,44.276192,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.586300,0.920044,0.983471,0.994460,calls/second,milliseconds
1741049052,7,129.125450,17.949080,0.004899,44.276192,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.540119,0.920044,0.983471,0.994460,calls/second,milliseconds
1741049053,7,129.125450,17.949080,0.004899,44.276192,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.500919,0.920044,0.983471,0.994460,calls/second,milliseconds
1741049054,7,129.125450,17.949080,0.004899,44.276192,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.467007,0.920044,0.983471,0.994460,calls/second,milliseconds
1741049055,7,129.125450,17.949080,0.004899,44.276192,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.437419,0.878464,0.973828,0.991166,calls/second,milliseconds
1741049056,7,129.125450,17.949080,0.004899,44.276192,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.411341,0.878464,0.973828,0.991166,calls/second,milliseconds
1741049057,7,129.125450,17.949080,0.004899,44.276192,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.388158,0.878464,0.973828,0.991166,calls/second,milliseconds
1741049058,7,129.125450,17.949080,0.004899,44.276192,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.367537,0.878464,0.973828,0.991166,calls/second,milliseconds
1741049059,7,129.125450,17.949080,0.004899,44.276192,0.014638,1.943738,129.125450,129.125450,129.125450,129.125450,0.348960,0.808226,0.957732,0.985675,calls/second,milliseconds
1741049060,8,129.125450,15.186583,0.004899,41.236623,0.008056,0.032942,129.125450,129.125450,129.125450,129.125450,0.379621,0.808226,0.957732,0.985675,calls/second,milliseconds
1741049061,9,129.125450,13.135027,0.004899,38.697890,0.009578,0.032942,129.125450,129.125450,129.125450,129.125450,0.407509,0.808226,0.957732,0.985675,calls/second,milliseconds
1741049062,9,129.125450,13.135027,0.004899,38.697890,0.009578,0.032942,129.125450,129.125450,129.125450,129.125450,0.389685,0.808226,0.957732,0.985675,calls/second,milliseconds
1741049063,9,129.125450,13.135027,0.004899,38.697890,0.009578,0.032942,129.125450,129.125450,129.125450,129.125450,0.373246,0.808226,0.957732,0.985675,calls/second,milliseconds
1741049064,9,129.125450,13.135027,0.004899,38.697890,0.009578,0.032942,129.125450,129.125450,129.125450,129.125450,0.358244,0.775586,0.948513,0.982431,calls/second,milliseconds
1741049065,9,129.125450,13.135027,0.004899,38.697890,0.009578,0.032942,129.125450,129.125450,129.125450,129.125450,0.344273,0.775586,0.948513,0.982431,calls/second,milliseconds
1741049066,11,129.125450,10.175222,0.004899,34.491618,0.014638,0.018274,129.125450,129.125450,129.125450,129.125450,0.404929,0.775586,0.948513,0.982431,calls/second,milliseconds
1741049067,11,129.125450,10.175222,0.004899,34.491618,0.014638,0.018274,129.125450,129.125450,129.125450,129.125450,0.390260,0.775586,0.948513,0.982431,calls/second,milliseconds
1741049068,11,129.125450,10.175222,0.004899,34.491618,0.014638,0.018274,129.125450,129.125450,129.125450,129.125450,0.376758,0.775586,0.948513,0.982431,calls/second,milliseconds
