t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1741049253,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049255,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049256,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049257,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049258,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049259,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049260,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049261,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049262,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049263,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049264,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049265,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049266,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049267,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049268,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049269,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049270,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049271,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049272,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049273,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049274,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049275,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049276,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049277,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049278,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049279,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049280,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049281,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049282,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741049283,12,693,143.833333,5,209.132667,48.000000,114.000000,693.000000,693.000000,693.000000,693.000000
1741049284,12,693,143.833333,5,209.132667,48.000000,114.000000,693.000000,693.000000,693.000000,693.000000
1741049285,12,693,143.833333,5,209.132667,48.000000,114.000000,693.000000,693.000000,693.000000,693.000000
1741049286,24,693,143.833333,5,209.132667,56.000000,190.000000,693.000000,693.000000,693.000000,693.000000
1741049287,24,693,143.833333,5,209.132667,56.000000,190.000000,693.000000,693.000000,693.000000,693.000000
1741049288,24,693,143.833333,5,209.132667,56.000000,190.000000,693.000000,693.000000,693.000000,693.000000
1741049289,24,693,143.833333,5,209.132667,56.000000,190.000000,693.000000,693.000000,693.000000,693.000000
1741049290,36,693,101.313139,1,178.501045,38.000000,67.000000,693.000000,693.000000,693.000000,693.000000
1741049291,84,693,127.520143,1,171.013419,48.000000,190.000000,481.000000,693.000000,693.000000,693.000000
1741049292,102,693,110.630217,1,161.581033,38.000000,163.000000,481.000000,612.000000,693.000000,693.000000
1741049293,126,693,113.282998,1,156.003931,38.000000,165.000000,463.000000,612.000000,693.000000,693.000000
1741049294,217,693,85.809733,1,138.927704,15.000000,107.000000,397.000000,572.000000,612.000000,693.000000
1741049295,217,693,85.809733,1,138.927704,15.000000,107.000000,397.000000,572.000000,612.000000,693.000000
1741049295,217,693,85.809733,1,138.927704,15.000000,107.000000,397.000000,572.000000,612.000000,693.000000
1741049295,217,693,85.809733,1,138.927704,15.000000,107.000000,397.000000,572.000000,612.000000,693.000000
