t,count
1741049454,0
1741049456,0
1741049457,0
1741049458,0
1741049459,0
1741049460,0
1741049461,0
1741049462,0
1741049463,0
1741049464,0
1741049465,0
1741049466,0
1741049467,0
1741049468,0
1741049469,0
1741049470,0
1741049471,0
1741049472,0
1741049473,0
1741049474,0
1741049475,0
1741049476,0
1741049477,0
1741049478,0
1741049479,0
1741049480,0
1741049481,0
1741049482,0
1741049483,0
1741049484,0
1741049485,0
1741049486,0
1741049487,0
1741049488,0
1741049489,0
1741049490,0
1741049491,0
1741049492,0
1741049493,0
1741049494,0
1741049495,0
1741049497,14507972
1741049498,14507972
1741049499,26442136
1741049500,26442136
1741049501,26442136
1741049502,26442136
1741049503,36792900
1741049504,50687272
1741049505,53116511
1741049506,65548997
1741049507,68653913
1741049508,68653913
1741049509,68653913
1741049510,68653913
1741049511,75667339
1741049512,92951860
1741049513,110438880
1741049515,110438880
1741049516,123102099
1741049517,138639501
1741049518,138639501
1741049519,138639501
1741049519,138639501
1741049519,138639501
1741049519,138639501
