t,count
1741049543,0
1741049545,0
1741049546,0
1741049547,0
1741049548,0
1741049549,0
1741049550,0
1741049551,0
1741049552,0
1741049553,0
1741049554,0
1741049555,0
1741049556,0
1741049557,0
1741049558,0
1741049559,0
1741049560,0
1741049561,0
1741049562,0
1741049563,0
1741049564,0
1741049565,0
1741049566,0
1741049567,0
1741049568,0
1741049569,0
1741049570,0
1741049571,0
1741049572,0
1741049573,0
1741049574,0
1741049575,0
1741049576,0
1741049577,0
1741049578,0
1741049579,0
1741049580,0
1741049581,0
1741049582,3808
1741049583,3855
1741049584,3855
1741049585,3855
1741049586,3855
1741049587,3855
1741049588,4183
1741049589,4183
1741049590,4183
1741049590,4183
1741049590,4183
