t,value
1741049816,0
1741049817,0
1741049818,0
1741049819,0
1741049820,0
1741049821,0
1741049822,0
1741049823,0
1741049824,0
1741049825,0
1741049826,0
1741049827,0
1741049828,0
1741049829,0
1741049830,0
1741049831,0
1741049832,0
1741049833,0
1741049834,0
1741049835,0
1741049836,0
1741049837,0
1741049838,0
1741049839,0
1741049840,0
1741049841,0
1741049842,0
1741049843,0
1741049844,0
1741049845,0
1741049846,0
1741049847,0
1741049848,0
1741049849,0
1741049850,0
1741049851,0
1741049852,0
1741049854,0
1741049855,0
1741049856,0
1741049857,0
1741049858,0
1741049859,0
1741049860,0
1741049861,0
1741049862,0
1741049863,0
1741049864,0
1741049864,0
1741049864,0
