t,count
1741050029,0
1741050030,0
1741050031,0
1741050032,0
1741050033,0
1741050034,0
1741050035,0
1741050036,0
1741050037,0
1741050038,0
1741050039,0
1741050040,0
1741050041,0
1741050042,0
1741050043,0
1741050044,0
1741050045,0
1741050046,0
1741050047,0
1741050048,0
1741050049,0
1741050050,0
1741050051,0
1741050052,0
1741050053,0
1741050054,0
1741050055,0
1741050056,0
1741050057,0
1741050058,0
1741050059,0
1741050060,0
1741050061,0
1741050063,0
1741050064,0
1741050065,0
1741050066,1401821900
1741050067,2575513400
1741050068,2575513400
1741050069,2575513400
1741050070,2575513400
1741050071,2575513400
1741050072,3054276700
1741050073,3091945200
1741050074,3300894900
1741050075,3505889700
1741050076,3690908700
1741050077,3955367900
1741050078,3995868000
1741050079,4003434700
1741050079,4003434700
1741050079,4003434700
