t,value
1741050169,0
1741050170,0
1741050171,0
1741050172,0
1741050174,0
1741050175,0
1741050176,0
1741050177,0
1741050178,0
1741050179,7
1741050180,7
1741050181,7
1741050182,7
1741050183,7
1741050184,7
1741050185,7
1741050186,7
1741050187,7
1741050188,7
1741050189,8
1741050190,8
1741050191,8
1741050192,8
1741050193,8
1741050194,8
1741050195,8
1741050196,8
1741050197,8
1741050198,9
1741050199,9
1741050200,9
1741050201,9
1741050202,9
1741050203,9
1741050204,9
1741050205,9
1741050206,9
1741050207,9
1741050208,10
1741050209,10
1741050210,10
1741050211,10
1741050212,10
1741050213,10
1741050214,10
1741050215,10
1741050216,10
1741050217,10
1741050218,14
1741050219,14
1741050220,14
1741050220,14
1741050220,14
1741050220,14
