t,count
1741050245,0
1741050246,0
1741050247,0
1741050248,0
1741050249,0
1741050250,0
1741050251,0
1741050252,0
1741050253,0
1741050254,0
1741050255,0
1741050256,0
1741050257,0
1741050258,0
1741050259,0
1741050260,0
1741050261,0
1741050262,0
1741050263,0
1741050264,0
1741050265,0
1741050266,0
1741050267,0
1741050268,0
1741050269,0
1741050270,0
1741050271,0
1741050272,0
1741050273,0
1741050274,0
1741050275,0
1741050276,0
1741050277,0
1741050278,0
1741050279,0
1741050280,0
1741050281,0
1741050282,0
1741050284,0
1741050285,0
1741050286,0
1741050287,0
1741050287,0
1741050287,0
1741050287,0
