t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1741050458,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050459,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050460,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050461,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050462,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050463,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050464,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050465,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050466,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050467,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050468,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050469,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050470,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050471,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050472,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050474,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050475,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050476,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050477,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050478,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050479,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050480,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050481,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050482,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050483,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050484,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050485,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050486,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050487,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741050488,3,1191,1184.000000,1179,5.099020,1182.000000,1191.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050489,3,1191,1184.000000,1179,5.099020,1182.000000,1191.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050490,3,1191,1184.000000,1179,5.099020,1182.000000,1191.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050491,6,1191,622.536456,45,553.420654,108.000000,1182.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050492,6,1191,622.536456,45,553.420654,108.000000,1182.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050493,6,1191,622.536456,45,553.420654,108.000000,1182.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050494,6,1191,622.536456,45,553.420654,108.000000,1182.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050495,6,1191,622.536456,45,553.420654,108.000000,1182.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050496,8,1191,467.667226,24,538.788660,80.000000,1179.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050497,12,1191,340.476768,11,468.309975,80.000000,198.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050498,13,1191,313.903167,11,457.549147,80.000000,198.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050499,15,1191,280.289208,11,431.750277,80.000000,198.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050499,15,1191,280.289208,11,431.750277,80.000000,198.000000,1191.000000,1191.000000,1191.000000,1191.000000
1741050499,15,1191,280.289208,11,431.750277,80.000000,198.000000,1191.000000,1191.000000,1191.000000,1191.000000
