t,value
1741050458,0
1741050459,0
1741050460,0
1741050461,0
1741050462,0
1741050463,0
1741050464,0
1741050465,0
1741050466,0
1741050467,0
1741050468,0
1741050469,0
1741050470,0
1741050471,0
1741050472,0
1741050474,0
1741050475,0
1741050476,0
1741050477,0
1741050478,0
1741050479,0
1741050480,0
1741050481,0
1741050482,0
1741050483,0
1741050484,0
1741050485,0
1741050486,0
1741050487,0
1741050488,0
1741050489,0
1741050490,16
1741050491,16
1741050492,16
1741050493,16
1741050494,16
1741050495,16
1741050496,16
1741050497,16
1741050498,16
1741050499,16
1741050499,0
1741050499,0
