t,value
1741050522,13720000000
1741050524,15550000000
1741050525,16310000000
1741050526,17040000000
1741050527,17770000000
1741050528,18800000000
1741050529,19430000000
1741050530,19990000000
1741050531,20960000000
1741050532,22240000000
1741050533,22860000000
1741050534,23660000000
1741050535,24180000000
1741050536,25070000000
1741050537,27090000000
1741050538,28580000000
1741050539,29370000000
1741050540,30860000000
1741050541,32850000000
1741050542,34560000000
1741050543,35280000000
1741050544,36000000000
1741050545,38560000000
1741050546,39860000000
1741050547,40870000000
1741050548,41390000000
1741050549,41670000000
1741050550,42400000000
1741050551,44410000000
1741050552,45730000000
1741050553,46820000000
1741050554,48610000000
1741050555,51510000000
1741050556,59810000000
1741050557,60740000000
1741050558,62280000000
1741050559,63540000000
1741050560,66850000000
1741050561,74720000000
1741050562,84670000000
1741050563,92310000000
1741050564,105040000000
1741050565,116030000000
1741050566,125550000000
1741050567,128540000000
1741050567,128570000000
1741050567,128850000000
