t,count
1741050590,0
1741050591,0
1741050592,0
1741050593,0
1741050594,0
1741050595,0
1741050596,0
1741050597,0
1741050598,0
1741050599,0
1741050600,0
1741050601,0
1741050602,0
1741050603,0
1741050604,0
1741050605,0
1741050606,0
1741050607,0
1741050608,0
1741050609,0
1741050610,0
1741050611,0
1741050612,0
1741050613,0
1741050614,0
1741050615,0
1741050616,0
1741050617,0
1741050618,0
1741050619,0
1741050620,0
1741050621,0
1741050622,0
1741050623,0
1741050624,3676
1741050625,8262
1741050626,8262
1741050627,8262
1741050628,8262
1741050629,9575
1741050631,9881
1741050632,9891
1741050633,10001
1741050634,10001
1741050635,10068
1741050636,10296
1741050637,10668
1741050637,10691
1741050637,10691
1741050637,10691
