t,value
1741050857,2004
1741050858,2004
1741050859,2004
1741050860,2004
1741050861,2004
1741050862,2004
1741050863,2004
1741050864,2004
1741050865,2004
1741050866,2004
1741050867,2004
1741050868,2004
1741050869,2004
1741050870,2004
1741050871,2004
1741050872,2004
1741050873,2004
1741050874,2004
1741050875,2004
1741050876,2004
1741050877,2004
1741050878,2004
1741050879,2004
1741050880,2004
1741050881,2004
1741050882,2004
1741050883,2004
1741050884,2004
1741050885,2004
1741050886,2004
1741050887,2004
1741050888,2004
1741050889,2004
1741050890,2004
1741050891,2004
1741050892,2004
1741050893,2004
1741050895,2004
1741050896,2004
1741050896,2004
1741050896,2004
1741050896,0
