t,value
1741050920,0
1741050921,0
1741050922,0
1741050923,0
1741050924,0
1741050925,0
1741050926,0
1741050927,0
1741050928,0
1741050929,0
1741050930,0
1741050931,0
1741050932,0
1741050933,0
1741050934,0
1741050935,0
1741050936,0
1741050937,116
1741050938,116
1741050939,116
1741050940,116
1741050941,116
1741050942,116
1741050943,116
1741050944,116
1741050945,116
1741050946,116
1741050947,172
1741050948,172
1741050949,172
1741050950,172
1741050951,172
1741050952,172
1741050953,172
1741050954,172
1741050955,172
1741050956,172
1741050957,416
1741050958,416
1741050959,416
1741050960,416
1741050961,416
1741050962,416
1741050962,416
1741050962,416
