t,value
1741051184,0
1741051185,0
1741051186,0
1741051187,0
1741051188,0
1741051189,0
1741051190,0
1741051191,0
1741051192,0
1741051193,0
1741051194,0
1741051195,0
1741051196,0
1741051197,0
1741051198,149
1741051199,149
1741051200,149
1741051201,149
1741051202,149
1741051203,149
1741051204,149
1741051205,149
1741051206,149
1741051207,149
1741051208,243
1741051209,243
1741051210,243
1741051211,243
1741051212,243
1741051213,243
1741051214,243
1741051215,243
1741051216,243
1741051217,243
1741051218,385
1741051220,385
1741051221,385
1741051222,385
1741051223,385
1741051224,385
1741051225,385
1741051225,385
1741051225,385
1741051225,385
