t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1741051508,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051509,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051510,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051511,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051512,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051513,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051514,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051515,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051516,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051517,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051518,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051519,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051520,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051521,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051522,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051523,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051524,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051525,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051526,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051527,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051528,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051529,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051530,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051531,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051532,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051533,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051534,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051535,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1741051536,6,4872,2185.833333,611,1674.639505,2989.000000,3421.000000,4872.000000,4872.000000,4872.000000,4872.000000
1741051537,6,4872,2185.833333,611,1674.639505,2989.000000,3421.000000,4872.000000,4872.000000,4872.000000,4872.000000
1741051538,6,4872,2185.833333,611,1674.639505,2989.000000,3421.000000,4872.000000,4872.000000,4872.000000,4872.000000
1741051539,12,4872,2185.833333,611,1674.639505,2989.000000,3421.000000,4872.000000,4872.000000,4872.000000,4872.000000
1741051540,12,4872,2185.833333,611,1674.639505,2989.000000,3421.000000,4872.000000,4872.000000,4872.000000,4872.000000
1741051541,12,4872,2185.833333,611,1674.639505,2989.000000,3421.000000,4872.000000,4872.000000,4872.000000,4872.000000
1741051542,16,4872,1906.959963,593,1536.340998,1593.000000,2989.000000,4872.000000,4872.000000,4872.000000,4872.000000
1741051543,26,9638,2469.934014,593,2555.534659,1593.000000,3421.000000,9638.000000,9638.000000,9638.000000,9638.000000
1741051545,32,9638,2205.911466,593,2364.996614,1502.000000,2989.000000,9638.000000,9638.000000,9638.000000,9638.000000
1741051546,34,9638,2269.229140,593,2392.911663,1502.000000,3421.000000,9638.000000,9638.000000,9638.000000,9638.000000
1741051547,50,9638,2045.849051,593,2121.930732,993.000000,2770.000000,5809.000000,9638.000000,9638.000000,9638.000000
1741051548,64,9638,1871.613583,593,1923.394343,1365.000000,2284.000000,5809.000000,9638.000000,9638.000000,9638.000000
1741051548,64,9638,1871.613583,593,1923.394343,1365.000000,2284.000000,5809.000000,9638.000000,9638.000000,9638.000000
1741051548,64,9638,1871.613583,593,1923.394343,1365.000000,2284.000000,5809.000000,9638.000000,9638.000000,9638.000000
