t,value
1741051639,2147483647
1741051640,2147483647
1741051641,2147483647
1741051642,2147483647
1741051643,2147483647
1741051644,2147483647
1741051646,2147483647
1741051647,2147483647
1741051648,2147483647
1741051649,2147483647
1741051650,2147483647
1741051651,2147483647
1741051652,2147483647
1741051653,2147483647
1741051654,2147483647
1741051655,2147483647
1741051656,2147483647
1741051657,2147483647
1741051658,2147483647
1741051659,2147483647
1741051660,2147483647
1741051661,2147483647
1741051662,2147483647
1741051663,2147483647
1741051664,2147483647
1741051665,2147483647
1741051666,2147483647
1741051667,2147483647
1741051668,2147483647
1741051669,2147483647
1741051670,2147483647
1741051671,2147483647
1741051672,2147483647
1741051673,2147483647
1741051674,2147483647
1741051675,2147483647
1741051676,2147483647
1741051676,2147483647
1741051676,2147483647
1741051676,2147483647
