t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1741052030,5,130.851493,38.939839,3.519203,46.704379,24.922493,24.970362,130.851493,130.851493,130.851493,130.851493,0.903309,1.000000,1.000000,1.000000,calls/second,milliseconds
1741052031,5,130.851493,38.939839,3.519203,46.704379,24.922493,24.970362,130.851493,130.851493,130.851493,130.851493,0.762288,1.000000,1.000000,1.000000,calls/second,milliseconds
1741052032,5,130.851493,38.939839,3.519203,46.704379,24.922493,24.970362,130.851493,130.851493,130.851493,130.851493,0.659784,1.000000,1.000000,1.000000,calls/second,milliseconds
1741052033,5,130.851493,38.939839,3.519203,46.704379,24.922493,24.970362,130.851493,130.851493,130.851493,130.851493,0.581393,1.000000,1.000000,1.000000,calls/second,milliseconds
1741052034,5,130.851493,38.939839,3.519203,46.704379,24.922493,24.970362,130.851493,130.851493,130.851493,130.851493,0.519890,1.000000,1.000000,1.000000,calls/second,milliseconds
1741052035,5,130.851493,38.939839,3.519203,46.704379,24.922493,24.970362,130.851493,130.851493,130.851493,130.851493,0.470169,0.920044,0.983471,0.994460,calls/second,milliseconds
1741052036,5,130.851493,38.939839,3.519203,46.704379,24.922493,24.970362,130.851493,130.851493,130.851493,130.851493,0.429097,0.920044,0.983471,0.994460,calls/second,milliseconds
1741052037,5,130.851493,38.939839,3.519203,46.704379,24.922493,24.970362,130.851493,130.851493,130.851493,130.851493,0.394653,0.920044,0.983471,0.994460,calls/second,milliseconds
1741052038,5,130.851493,38.939839,3.519203,46.704379,24.922493,24.970362,130.851493,130.851493,130.851493,130.851493,0.365335,0.920044,0.983471,0.994460,calls/second,milliseconds
1741052039,5,130.851493,38.939839,3.519203,46.704379,24.922493,24.970362,130.851493,130.851493,130.851493,130.851493,0.340123,0.920044,0.983471,0.994460,calls/second,milliseconds
1741052040,7,130.851493,28.806504,0.135454,41.534619,13.868344,24.970362,130.851493,130.851493,130.851493,130.851493,0.445429,0.862473,0.970522,0.990058,calls/second,milliseconds
1741052041,7,130.851493,28.806504,0.135454,41.534619,13.868344,24.970362,130.851493,130.851493,130.851493,130.851493,0.418363,0.862473,0.970522,0.990058,calls/second,milliseconds
1741052042,7,130.851493,28.806504,0.135454,41.534619,13.868344,24.970362,130.851493,130.851493,130.851493,130.851493,0.394429,0.862473,0.970522,0.990058,calls/second,milliseconds
1741052043,7,130.851493,28.806504,0.135454,41.534619,13.868344,24.970362,130.851493,130.851493,130.851493,130.851493,0.373078,0.862473,0.970522,0.990058,calls/second,milliseconds
1741052044,7,130.851493,28.806504,0.135454,41.534619,13.868344,24.970362,130.851493,130.851493,130.851493,130.851493,0.353943,0.862473,0.970522,0.990058,calls/second,milliseconds
1741052045,7,130.851493,28.806504,0.135454,41.534619,13.868344,24.970362,130.851493,130.851493,130.851493,130.851493,0.336629,0.809504,0.957786,0.985681,calls/second,milliseconds
1741052046,7,130.851493,28.806504,0.135454,41.534619,13.868344,24.970362,130.851493,130.851493,130.851493,130.851493,0.320923,0.809504,0.957786,0.985681,calls/second,milliseconds
1741052047,7,130.851493,28.806504,0.135454,41.534619,13.868344,24.970362,130.851493,130.851493,130.851493,130.851493,0.306683,0.809504,0.957786,0.985681,calls/second,milliseconds
1741052048,7,130.851493,28.806504,0.135454,41.534619,13.868344,24.970362,130.851493,130.851493,130.851493,130.851493,0.293655,0.809504,0.957786,0.985681,calls/second,milliseconds
1741052049,8,130.851493,24.375269,0.135454,39.537050,10.435642,24.922493,130.851493,130.851493,130.851493,130.851493,0.321960,0.809504,0.957786,0.985681,calls/second,milliseconds
1741052050,9,130.851493,21.109663,0.126487,37.698626,10.435642,24.922493,130.851493,130.851493,130.851493,130.851493,0.348022,0.776762,0.948567,0.982437,calls/second,milliseconds
1741052051,11,130.851493,22.439298,0.126487,34.705864,10.435642,24.970362,130.851493,130.851493,130.851493,130.851493,0.409224,0.776762,0.948567,0.982437,calls/second,milliseconds
1741052052,11,130.851493,22.439298,0.126487,34.705864,10.435642,24.970362,130.851493,130.851493,130.851493,130.851493,0.394331,0.776762,0.948567,0.982437,calls/second,milliseconds
1741052053,11,130.851493,22.439298,0.126487,34.705864,10.435642,24.970362,130.851493,130.851493,130.851493,130.851493,0.380536,0.776762,0.948567,0.982437,calls/second,milliseconds
1741052054,11,130.851493,22.439298,0.126487,34.705864,10.435642,24.970362,130.851493,130.851493,130.851493,130.851493,0.367593,0.776762,0.948567,0.982437,calls/second,milliseconds
1741052055,11,130.851493,22.439298,0.126487,34.705864,10.435642,24.970362,130.851493,130.851493,130.851493,130.851493,0.355512,0.746638,0.939500,0.979210,calls/second,milliseconds
1741052056,11,130.851493,22.439298,0.126487,34.705864,10.435642,24.970362,130.851493,130.851493,130.851493,130.851493,0.344274,0.746638,0.939500,0.979210,calls/second,milliseconds
1741052057,11,130.851493,22.439298,0.126487,34.705864,10.435642,24.970362,130.851493,130.851493,130.851493,130.851493,0.333735,0.746638,0.939500,0.979210,calls/second,milliseconds
1741052058,13,130.851493,22.627915,0.126487,31.902441,10.435642,24.970362,130.851493,130.851493,130.851493,130.851493,0.382695,0.746638,0.939500,0.979210,calls/second,milliseconds
1741052059,14,130.851493,20.620345,0.126487,31.100064,7.816236,24.970362,130.851493,130.851493,130.851493,130.851493,0.400203,0.746638,0.939500,0.979210,calls/second,milliseconds
1741052060,27,130.851493,9.819826,0.024005,23.297876,0.333575,7.816236,47.090491,130.851493,130.851493,130.851493,0.749845,0.750905,0.937194,0.978217,calls/second,milliseconds
1741052061,58,142.823242,8.088914,0.024005,24.518796,0.487869,3.376642,39.002934,130.851493,142.823242,142.823242,1.566042,0.750905,0.937194,0.978217,calls/second,milliseconds
1741052062,58,142.823242,8.088914,0.024005,24.518796,0.487869,3.376642,39.002934,130.851493,142.823242,142.823242,1.523966,0.750905,0.937194,0.978217,calls/second,milliseconds
1741052063,58,142.823242,8.088914,0.024005,24.518796,0.487869,3.376642,39.002934,130.851493,142.823242,142.823242,1.484510,0.750905,0.937194,0.978217,calls/second,milliseconds
1741052064,58,142.823242,8.088914,0.024005,24.518796,0.487869,3.376642,39.002934,130.851493,142.823242,142.823242,1.446961,1.378484,1.063849,1.020443,calls/second,milliseconds
1741052065,60,142.823242,8.433884,0.024005,24.336748,0.512880,3.519203,39.002934,130.851493,142.823242,142.823242,1.459840,1.378484,1.063849,1.020443,calls/second,milliseconds
1741052066,98,142.823242,5.461139,0.024005,18.936691,0.599072,2.049898,26.903200,47.090491,142.823242,142.823242,2.326895,1.378484,1.063849,1.020443,calls/second,milliseconds
1741052067,124,142.823242,4.425274,0.024005,16.796415,0.482774,1.559652,24.922493,39.002934,130.851493,142.823242,2.875126,1.378484,1.063849,1.020443,calls/second,milliseconds
1741052068,162,142.823242,3.604979,0.024005,14.614751,0.563045,1.558370,13.868344,39.002934,47.090491,142.823242,3.668680,1.378484,1.063849,1.020443,calls/second,milliseconds
1741052070,205,142.823242,3.122027,0.024005,12.925114,0.701835,1.590415,9.096827,34.092671,47.090491,142.823242,4.538719,3.523014,1.512370,1.171022,calls/second,milliseconds
1741052070,214,142.823242,3.004231,0.024005,12.640776,0.654236,1.564768,7.816236,26.903200,47.090491,142.823242,4.705992,3.523014,1.512370,1.171022,calls/second,milliseconds
1741052070,214,142.823242,3.004231,0.024005,12.640776,0.654236,1.564768,7.816236,26.903200,47.090491,142.823242,4.705030,3.523014,1.512370,1.171022,calls/second,milliseconds
1741052070,214,142.823242,3.004231,0.024005,12.640776,0.654236,1.564768,7.816236,26.903200,47.090491,142.823242,4.692859,3.523014,1.512370,1.171022,calls/second,milliseconds
