t,value
1741052093,0
1741052094,0
1741052096,0
1741052097,0
1741052098,0
1741052099,0
1741052100,0
1741052101,0
1741052102,0
1741052103,0
1741052104,0
1741052105,0
1741052106,0
1741052107,0
1741052108,0
1741052109,0
1741052110,0
1741052111,0
1741052112,0
1741052113,0
1741052114,0
1741052115,0
1741052116,0
1741052117,1312
1741052118,1312
1741052119,1312
1741052120,1312
1741052121,1312
1741052122,1312
1741052123,1312
1741052124,1312
1741052125,1312
1741052126,1312
1741052127,1312
1741052128,41688
1741052129,41688
1741052130,375026
1741052131,375026
1741052132,375026
1741052133,5493654
1741052134,5493654
1741052134,5493654
1741052134,5493654
1741052134,5493654
