t,value
1741052219,0
1741052220,0
1741052221,0
1741052222,0
1741052223,0
1741052224,0
1741052225,0
1741052226,0
1741052227,0
1741052228,0
1741052229,0
1741052230,3
1741052231,3
1741052232,3
1741052233,3
1741052234,3
1741052235,3
1741052236,3
1741052237,3
1741052238,3
1741052239,3
1741052240,4
1741052241,4
1741052242,4
1741052243,4
1741052244,4
1741052245,4
1741052246,4
1741052247,4
1741052248,4
1741052249,4
1741052250,4
1741052251,4
1741052252,4
1741052253,4
1741052254,4
1741052255,4
1741052256,4
1741052257,4
1741052258,4
1741052259,4
1741052260,5
1741052261,5
1741052262,5
1741052263,5
1741052264,5
1741052265,5
1741052267,5
1741052268,5
1741052269,5
1741052270,5
1741052271,6
1741052271,6
1741052271,6
1741052271,6
