t,count
1741052219,5
1741052220,5
1741052221,5
1741052222,5
1741052223,5
1741052224,5
1741052225,5
1741052226,5
1741052227,5
1741052228,5
1741052229,5
1741052230,7
1741052231,7
1741052232,7
1741052233,7
1741052234,7
1741052235,7
1741052236,7
1741052237,7
1741052238,7
1741052239,7
1741052240,11
1741052241,11
1741052242,11
1741052243,11
1741052244,11
1741052245,11
1741052246,11
1741052247,11
1741052248,11
1741052249,11
1741052250,13
1741052251,15
1741052252,15
1741052253,15
1741052254,41
1741052255,96
1741052256,96
1741052257,96
1741052258,96
1741052259,100
1741052260,162
1741052261,225
1741052262,258
1741052263,268
1741052264,284
1741052265,316
1741052267,326
1741052268,351
1741052269,382
1741052270,427
1741052271,458
1741052271,459
1741052271,459
1741052271,459
