t,count
1741052425,0
1741052426,0
1741052427,0
1741052428,0
1741052429,0
1741052430,0
1741052431,0
1741052432,0
1741052433,0
1741052434,0
1741052435,0
1741052436,0
1741052437,0
1741052438,0
1741052439,0
1741052440,0
1741052441,0
1741052442,0
1741052443,0
1741052444,0
1741052445,0
1741052446,0
1741052447,0
1741052448,0
1741052449,0
1741052450,0
1741052451,0
1741052452,0
1741052453,0
1741052454,0
1741052456,0
1741052457,0
1741052458,0
1741052459,0
1741052460,0
1741052461,0
1741052462,0
1741052463,0
1741052464,0
1741052466,0
1741052467,0
1741052468,0
1741052469,0
1741052470,109319379
1741052470,110098607
1741052470,110098607
1741052470,110098607
