t,value
1741052557,0
1741052558,0
1741052559,0
1741052560,0
1741052561,0
1741052562,0
1741052563,0
1741052564,0
1741052565,0
1741052566,0
1741052567,0
1741052568,0
1741052569,0
1741052570,0
1741052571,0
1741052572,32769
1741052573,32769
1741052574,32769
1741052575,32769
1741052576,32769
1741052577,32769
1741052578,32769
1741052579,32769
1741052580,32769
1741052581,32769
1741052582,32769
1741052583,32769
1741052584,32769
1741052585,32769
1741052586,32769
1741052587,32769
1741052588,32769
1741052589,32769
1741052590,32769
1741052591,32769
1741052593,32769
1741052594,32769
1741052595,32769
1741052596,32769
1741052597,32769
1741052598,32769
1741052599,32769
1741052600,32769
1741052601,32769
1741052602,3572379
1741052603,3572379
1741052603,3572379
1741052603,3572379
