t,value
1741052626,0
1741052628,0
1741052629,0
1741052630,0
1741052631,0
1741052632,0
1741052633,0
1741052634,0
1741052635,0
1741052636,0
1741052637,0
1741052638,0
1741052639,0
1741052640,0
1741052641,0
1741052642,0
1741052643,0
1741052644,0
1741052645,0
1741052646,0
1741052647,0
1741052648,0
1741052649,0
1741052650,0
1741052651,0
1741052652,0
1741052653,0
1741052654,0
1741052655,0
1741052656,0
1741052657,0
1741052658,0
1741052659,0
1741052660,0
1741052661,0
1741052662,0
1741052663,0
1741052664,0
1741052665,0
1741052666,0
1741052667,0
1741052668,0
1741052668,0
1741052668,0
