t,count
1741052691,0
1741052693,0
1741052694,0
1741052695,0
1741052696,0
1741052697,0
1741052698,0
1741052699,0
1741052700,0
1741052701,0
1741052702,0
1741052703,0
1741052704,0
1741052705,0
1741052706,0
1741052707,0
1741052708,0
1741052709,0
1741052710,0
1741052711,0
1741052712,0
1741052713,0
1741052714,0
1741052715,2
1741052716,21
1741052717,59
1741052718,59
1741052719,59
1741052720,59
1741052721,59
1741052722,59
1741052723,59
1741052724,59
1741052725,59
1741052726,59
1741052727,59
1741052728,59
1741052729,59
1741052730,59
1741052731,59
1741052732,59
1741052733,59
1741052733,59
1741052733,59
