t,count
1741052757,0
1741052758,0
1741052759,0
1741052760,0
1741052761,0
1741052762,0
1741052763,0
1741052764,0
1741052765,0
1741052766,0
1741052767,0
1741052768,0
1741052769,0
1741052770,0
1741052771,0
1741052772,0
1741052773,0
1741052774,0
1741052775,0
1741052776,0
1741052777,0
1741052778,0
1741052779,0
1741052780,0
1741052781,0
1741052782,0
1741052783,0
1741052784,0
1741052785,0
1741052786,0
1741052787,0
1741052788,0
1741052789,0
1741052790,0
1741052791,0
1741052792,0
1741052793,0
1741052794,0
1741052795,0
1741052796,0
1741052797,0
1741052798,0
1741052799,0
1741052800,0
1741052801,0
1741052802,0
1741052804,0
1741052805,0
1741052806,0
1741052807,0
1741052808,0
1741052809,0
1741052809,0
1741052809,0
