t,value
1741052964,2004
1741052965,2004
1741052966,2004
1741052967,2004
1741052968,2004
1741052969,2004
1741052970,2004
1741052971,2004
1741052972,2004
1741052973,2004
1741052974,2004
1741052975,2004
1741052976,2004
1741052977,2004
1741052979,2004
1741052980,2004
1741052981,2004
1741052982,2004
1741052983,2004
1741052984,2004
1741052985,2004
1741052986,2004
1741052987,2004
1741052988,2004
1741052989,2004
1741052990,2004
1741052991,2004
1741052992,2004
1741052993,2004
1741052994,2004
1741052995,2004
1741052996,2004
1741052997,2004
1741052998,2004
1741052999,2004
1741053000,2004
1741053001,2004
1741053002,2004
1741053003,2004
1741053004,1988
1741053005,1987
1741053006,1987
1741053007,1987
1741053008,1987
1741053009,1987
1741053010,1987
1741053011,1987
1741053012,1987
1741053013,1987
1741053013,1987
1741053013,0
