t,count
1741052964,0
1741052965,0
1741052966,0
1741052967,1
1741052968,1
1741052969,1
1741052970,1
1741052971,1
1741052972,1
1741052973,1
1741052974,1
1741052975,1
1741052976,1
1741052977,1
1741052979,1
1741052980,1
1741052981,1
1741052982,1
1741052983,1
1741052984,1
1741052985,3
1741052986,5
1741052987,16
1741052988,27
1741052989,27
1741052990,27
1741052991,27
1741052992,27
1741052993,27
1741052994,27
1741052995,27
1741052996,27
1741052997,27
1741052998,27
1741052999,27
1741053000,27
1741053001,27
1741053002,27
1741053003,27
1741053004,27
1741053005,27
1741053006,27
1741053007,27
1741053008,27
1741053009,27
1741053010,27
1741053011,27
1741053012,27
1741053013,27
1741053013,27
1741053013,27
