t,value
1741053238,0
1741053240,0
1741053241,0
1741053242,0
1741053243,0
1741053244,0
1741053245,0
1741053246,0
1741053247,0
1741053248,0
1741053249,0
1741053250,0
1741053251,0
1741053252,0
1741053253,354987512
1741053254,354987512
1741053255,354987512
1741053256,354987512
1741053257,354987512
1741053258,354987512
1741053259,354987512
1741053260,354987512
1741053261,354987512
1741053262,354987512
1741053263,324661696
1741053264,324661696
1741053265,324661696
1741053266,324661696
1741053267,324661696
1741053268,324661696
1741053269,324661696
1741053270,324661696
1741053271,324661696
1741053272,305670824
1741053273,305670824
1741053274,305670824
1741053275,305670824
1741053276,305670824
1741053277,305670824
1741053278,305670824
1741053278,305670824
1741053278,305670824
