t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1741053238,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.918590,1.000000,1.000000,1.000000,calls/second,milliseconds
1741053240,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.773217,1.000000,1.000000,1.000000,calls/second,milliseconds
1741053241,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.667130,1.000000,1.000000,1.000000,calls/second,milliseconds
1741053242,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.586680,1.000000,1.000000,1.000000,calls/second,milliseconds
1741053243,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.524087,1.000000,1.000000,1.000000,calls/second,milliseconds
1741053244,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.473210,0.920044,0.983471,0.994460,calls/second,milliseconds
1741053245,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.431642,0.920044,0.983471,0.994460,calls/second,milliseconds
1741053246,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.396770,0.920044,0.983471,0.994460,calls/second,milliseconds
1741053247,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.367016,0.920044,0.983471,0.994460,calls/second,milliseconds
1741053248,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.341604,0.920044,0.983471,0.994460,calls/second,milliseconds
1741053249,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.319511,0.846482,0.967216,0.988950,calls/second,milliseconds
1741053250,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.300099,0.846482,0.967216,0.988950,calls/second,milliseconds
1741053251,5,125.310230,38.394760,4.805339,44.140776,22.596919,26.901735,125.310230,125.310230,125.310230,125.310230,0.282839,0.846482,0.967216,0.988950,calls/second,milliseconds
1741053252,6,125.310230,31.608096,4.102282,41.826791,12.359575,26.901735,125.310230,125.310230,125.310230,125.310230,0.320980,0.846482,0.967216,0.988950,calls/second,milliseconds
1741053253,7,125.310230,26.955557,3.446647,39.621027,12.359575,26.901735,125.310230,125.310230,125.310230,125.310230,0.355240,0.846482,0.967216,0.988950,calls/second,milliseconds
1741053254,7,125.310230,26.955557,3.446647,39.621027,12.359575,26.901735,125.310230,125.310230,125.310230,125.310230,0.337827,0.810783,0.957841,0.985688,calls/second,milliseconds
1741053255,7,125.310230,26.955557,3.446647,39.621027,12.359575,26.901735,125.310230,125.310230,125.310230,125.310230,0.322088,0.810783,0.957841,0.985688,calls/second,milliseconds
