t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1741053238,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053240,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053241,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053242,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053243,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053244,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053245,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053246,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053247,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053248,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053249,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053250,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053251,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053252,1,0.318847,0.318847,0.318847,0.000000,0.318847,0.318847,0.318847,0.318847,0.318847,0.318847,0.071178,0.000000,0.000000,0.000000,calls/second,milliseconds
1741053253,2,0.318847,0.194515,0.070182,0.124333,0.318847,0.318847,0.318847,0.318847,0.318847,0.318847,0.132789,0.031982,0.006611,0.002216,calls/second,milliseconds
1741053254,2,0.318847,0.194515,0.070182,0.124333,0.318847,0.318847,0.318847,0.318847,0.318847,0.318847,0.124398,0.031982,0.006611,0.002216,calls/second,milliseconds
1741053255,2,0.318847,0.194515,0.070182,0.124333,0.318847,0.318847,0.318847,0.318847,0.318847,0.318847,0.117028,0.031982,0.006611,0.002216,calls/second,milliseconds
1741053256,2,0.318847,0.194515,0.070182,0.124333,0.318847,0.318847,0.318847,0.318847,0.318847,0.318847,0.110470,0.031982,0.006611,0.002216,calls/second,milliseconds
1741053257,2,0.318847,0.194515,0.070182,0.124333,0.318847,0.318847,0.318847,0.318847,0.318847,0.318847,0.104624,0.031982,0.006611,0.002216,calls/second,milliseconds
1741053258,2,0.318847,0.194515,0.070182,0.124333,0.318847,0.318847,0.318847,0.318847,0.318847,0.318847,0.099368,0.029425,0.006502,0.002204,calls/second,milliseconds
1741053259,4,0.318847,0.133650,0.065493,0.103697,0.092213,0.092213,0.318847,0.318847,0.318847,0.318847,0.189198,0.029425,0.006502,0.002204,calls/second,milliseconds
1741053260,4,0.318847,0.133650,0.065493,0.103697,0.092213,0.092213,0.318847,0.318847,0.318847,0.318847,0.180530,0.029425,0.006502,0.002204,calls/second,milliseconds
1741053261,4,0.318847,0.133650,0.065493,0.103697,0.092213,0.092213,0.318847,0.318847,0.318847,0.318847,0.172613,0.029425,0.006502,0.002204,calls/second,milliseconds
1741053262,5,0.318847,0.114322,0.043031,0.099184,0.070182,0.092213,0.318847,0.318847,0.318847,0.318847,0.206715,0.029425,0.006502,0.002204,calls/second,milliseconds
1741053263,6,0.318847,0.103245,0.043031,0.093022,0.065493,0.092213,0.318847,0.318847,0.318847,0.318847,0.238063,0.091037,0.019618,0.006624,calls/second,milliseconds
1741053264,6,0.318847,0.103245,0.043031,0.093022,0.065493,0.092213,0.318847,0.318847,0.318847,0.318847,0.228862,0.091037,0.019618,0.006624,calls/second,milliseconds
1741053265,6,0.318847,0.103245,0.043031,0.093022,0.065493,0.092213,0.318847,0.318847,0.318847,0.318847,0.220381,0.091037,0.019618,0.006624,calls/second,milliseconds
1741053266,8,0.318847,0.099580,0.037390,0.084172,0.065493,0.092213,0.318847,0.318847,0.318847,0.318847,0.283305,0.091037,0.019618,0.006624,calls/second,milliseconds
1741053267,8,0.318847,0.099580,0.037390,0.084172,0.065493,0.092213,0.318847,0.318847,0.318847,0.318847,0.273465,0.091037,0.019618,0.006624,calls/second,milliseconds
1741053268,17,0.318847,0.079590,0.011452,0.065885,0.070182,0.092213,0.142086,0.318847,0.318847,0.318847,0.561521,0.243669,0.052350,0.017667,calls/second,milliseconds
1741053269,37,1.002557,0.091348,0.005801,0.164236,0.065493,0.104085,0.142086,1.002557,1.002557,1.002557,1.182168,0.243669,0.052350,0.017667,calls/second,milliseconds
1741053270,37,1.002557,0.091348,0.005801,0.164236,0.065493,0.104085,0.142086,1.002557,1.002557,1.002557,1.145184,0.243669,0.052350,0.017667,calls/second,milliseconds
1741053271,37,1.002557,0.091348,0.005801,0.164236,0.065493,0.104085,0.142086,1.002557,1.002557,1.002557,1.110430,0.243669,0.052350,0.017667,calls/second,milliseconds
1741053272,41,1.002557,0.086819,0.005801,0.155973,0.060654,0.092213,0.142086,1.002557,1.002557,1.002557,1.194308,0.243669,0.052350,0.017667,calls/second,milliseconds
1741053273,64,1.002557,0.073248,0.005801,0.124458,0.052088,0.076153,0.129954,0.318847,1.002557,1.002557,1.810808,0.655947,0.140739,0.047486,calls/second,milliseconds
1741053274,87,1.002557,0.062275,0.005801,0.107703,0.044553,0.066425,0.127308,0.142086,1.002557,1.002557,2.392557,0.655947,0.140739,0.047486,calls/second,milliseconds
1741053275,87,1.002557,0.062275,0.005801,0.107703,0.044553,0.066425,0.127308,0.142086,1.002557,1.002557,2.310749,0.655947,0.140739,0.047486,calls/second,milliseconds
1741053276,111,1.002557,0.054113,0.005801,0.095805,0.037611,0.058619,0.118311,0.142086,0.318847,1.002557,2.870867,0.655947,0.140739,0.047486,calls/second,milliseconds
1741053277,123,1.002557,0.053832,0.005801,0.092143,0.037611,0.058619,0.122620,0.203050,0.318847,1.002557,3.100047,0.655947,0.140739,0.047486,calls/second,milliseconds
1741053278,128,1.002557,0.054177,0.005801,0.090530,0.037481,0.059321,0.122620,0.203050,0.318847,1.002557,3.196233,1.962745,0.419398,0.141406,calls/second,milliseconds
1741053278,128,1.002557,0.054177,0.005801,0.090530,0.037481,0.059321,0.122620,0.203050,0.318847,1.002557,3.195393,1.962745,0.419398,0.141406,calls/second,milliseconds
1741053278,128,1.002557,0.054177,0.005801,0.090530,0.037481,0.059321,0.122620,0.203050,0.318847,1.002557,3.188829,1.962745,0.419398,0.141406,calls/second,milliseconds
