t,count
1741053495,0
1741053496,0
1741053497,0
1741053499,0
1741053500,0
1741053501,0
1741053502,0
1741053503,0
1741053504,0
1741053505,0
1741053506,0
1741053507,0
1741053508,0
1741053509,0
1741053510,0
1741053511,0
1741053512,0
1741053513,0
1741053514,0
1741053515,0
1741053516,0
1741053517,0
1741053518,0
1741053519,0
1741053520,0
1741053521,0
1741053522,0
1741053523,0
1741053524,0
1741053525,0
1741053526,0
1741053527,0
1741053528,0
1741053529,0
1741053530,2
1741053531,5
1741053532,11
1741053533,11
1741053534,15
1741053536,30
1741053536,31
1741053536,31
1741053536,31
