t,count
1741053846,0
1741053847,0
1741053849,0
1741053850,0
1741053851,0
1741053852,0
1741053853,0
1741053854,0
1741053855,0
1741053856,0
1741053857,0
1741053858,0
1741053859,0
1741053860,0
1741053861,0
1741053862,0
1741053863,0
1741053864,0
1741053865,0
1741053866,0
1741053867,0
1741053868,0
1741053869,0
1741053870,0
1741053871,0
1741053872,0
1741053873,0
1741053874,0
1741053875,0
1741053876,0
1741053877,0
1741053878,0
1741053879,0
1741053880,0
1741053881,0
1741053882,0
1741053883,0
1741053884,0
1741053885,0
1741053886,0
1741053887,0
1741053888,0
1741053889,0
1741053890,7079
1741053891,9439
1741053891,9439
1741053891,9439
