t,count
1741054104,0
1741054105,0
1741054106,0
1741054107,0
1741054108,0
1741054109,0
1741054111,0
1741054112,0
1741054113,0
1741054114,0
1741054115,0
1741054116,0
1741054117,0
1741054118,0
1741054119,0
1741054120,0
1741054121,0
1741054122,0
1741054123,0
1741054124,0
1741054125,0
1741054126,0
1741054127,0
1741054128,0
1741054129,0
1741054130,0
1741054131,0
1741054132,0
1741054133,0
1741054134,0
1741054135,0
1741054136,0
1741054137,0
1741054138,0
1741054139,0
1741054140,0
1741054141,0
1741054142,0
1741054143,0
1741054144,0
1741054145,0
1741054146,0
1741054147,0
1741054148,0
1741054149,0
1741054150,0
1741054151,0
1741054152,0
1741054153,0
1741054154,0
1741054155,0
1741054157,19090
1741054157,19967
1741054157,19967
1741054157,19967
