t,value
1741054322,0
1741054323,0
1741054324,0
1741054325,0
1741054326,0
1741054327,0
1741054328,0
1741054329,0
1741054330,0
1741054331,0
1741054332,0
1741054333,0
1741054334,0
1741054335,0
1741054336,0
1741054337,0
1741054338,0
1741054339,0
1741054340,0
1741054341,0
1741054342,0
1741054343,0
1741054344,0
1741054345,0
1741054346,0
1741054347,0
1741054348,0
1741054349,0
1741054350,0
1741054351,0
1741054352,0
1741054353,0
1741054354,0
1741054356,0
1741054357,0
1741054358,0
1741054359,2552553
1741054360,2552553
1741054361,2552553
1741054362,2552553
1741054362,2552553
1741054362,2552553
1741054362,2552553
