
 Query       Time(secs)   Rows returned
========================================
 query01          18.60             100
 query02          23.86            2513
 query03          17.33              89
 query04          29.05               8
 query05          32.01             100
 query06          21.17              45
 query07          19.91             100
 query08          18.99               5
 query09          20.27               1
 query10          26.14               5
 query11          29.49              88
 query12          18.82             100
 query13          20.80               1
 query14          40.37             100
 query14          11.06             100
 query15          21.31             100
 query16          21.60               1
 query17          28.35               1
 query18          21.53             100
 query19          19.36             100
 query20          18.44             100
 query21          22.41             100
 query22          19.40             100
 query23          32.66               1
 query23          10.43               4
 query24          20.80               0
 query24           3.25               0
 query25          24.59               1
 query26          19.86             100
 query27          20.80             100
 query28          26.38               1
 query29          25.90               1
 query30          18.80             100
 query31          27.96              51
 query32          18.49               1
 query33          27.43             100
 query34          20.31             451
 query35          26.59             100
 query36          21.10             100
 query37          18.71               1
 query38          22.43               1
 query39          21.23             243
 query39           4.26              14
 query40          20.50             100
 query41          15.68               4
 query42          16.99              10
 query43          17.26               6
 query44          20.35              10
 query45          17.73              19
 query46          20.64             100
 query47          24.41             100
 query48          19.58               1
 query49          24.14              32
 query50          18.36               6
 query51          24.65             100
 query52          16.38             100
 query53          18.70             100
 query54          25.11               1
 query55          16.01             100
 query56          22.01             100
 query57          20.48             100
 query58          23.13               3
 query59          19.60             100
 query60          23.85             100
 query61          18.96               1
 query62          17.28             100
 query63          18.44             100
 query64          30.78              10
 query65          21.46             100
 query66          21.97               5
 query67          23.79             100
 query68          20.10             100
 query69          25.23             100
 query70          20.24               3
 query71          20.51            1018
 query72          31.18             100
 query73          17.95               5
 query74          23.92              92
 query75          27.60             100
 query76          21.13             100
 query77          24.12              44
 query78          27.57             100
 query79          18.64             100
 query80          26.91             100
 query81          18.03             100
 query82          20.27               2
 query83          19.73              21
 query84          19.12              25
 query85          28.22               6
 query86          18.10             100
 query87          23.27               1
 query88          22.44               1
 query89          19.57             100
 query90          16.23               1
 query91          18.44               1
 query92          23.23               1
 query93          18.31             100
 query94          18.18               1
 query95          19.47               1
 query96          15.64               1
 query97          22.49               1
 query98          21.45            2516
 query99          16.90              90
